gene_id	gene_symbol	synonyms	ensembl_gene_id 	uniprot	hg19_chromosome
26073	POLDIP2	PDIP38|POLD4|p38	ENSG00000004142	Q9Y2S7	chr17
1468	SLC25A10	DIC|MTDPS19	ENSG00000183048	Q9UBX3	chr17
10165	SLC25A13	ARALAR2|CITRIN|CTLN2|NICCD	ENSG00000004864	Q9UJS0	chr7
5165	PDK3	CMTX6|GS1-358P8.4	ENSG00000067992	Q15120	chrX
10873	ME3	NADP-ME	ENSG00000151376	Q16798	chr11
29093	MRPL22	HSPC158|L22mt|MRP-L22|MRP-L25|RPML25	ENSG00000082515	Q9NWU5	chr5
3418	IDH2	D2HGA2|ICD-M|IDH|IDHM|IDP|IDPM|mNADP-IDH	ENSG00000182054	P48735	chr15
2639	GCDH	ACAD5|GCD	ENSG00000105607	Q92947	chr19
57129	MRPL47	CGI-204|L47mt|MRP-L47|NCM1	ENSG00000136522	Q9HD33	chr3
27068	PPA2	HSPC124|SCFAI|SCFI|SID6-306	ENSG00000138777	Q9H2U2	chr4
65005	MRPL9	L9mt	ENSG00000143436	Q9BYD2	chr1
400916	CHCHD10	C22orf16|FTDALS2|IMMD|MIX17A|N27C7-4|SMAJ	ENSG00000250479|ENSG00000273607	Q8WYQ3	chr22
10352	WARS2	NEMMLAS|TrpRS|mtTrpRS	ENSG00000116874	Q9UGM6	chr1
60386	SLC25A19	DNC|MCPHA|MUP1|THMD3|THMD4|TPC	ENSG00000125454	Q9HC21	chr17
84869	CBR4	SDR45C1	ENSG00000145439	Q8N4T8	chr4
91689	SMDT1	C22orf32|DDDD|EMRE	ENSG00000183172|ENSG00000272835|ENSG00000272901|ENSG00000274112	Q9H4I9	chr22
3029	HAGH	GLO2|GLX2|GLXII|HAGH1	ENSG00000063854	Q16775	chr16
1346	COX7A1	COX7A|COX7AH|COX7AM	ENSG00000161281	P24310	chr19
92170	MTG1	GTP|GTPBP7	ENSG00000148824	Q9BT17	chr10
84987	COX14	C12orf62|PCAG1	ENSG00000178449	Q96I36	chr12
55967	NDUFA12	B17.2|DAP13|MC1DN23	ENSG00000184752	Q9UI09	chr12
51021	MRPS16	CGI-132|COXPD2|MRP-S16|RPMS16	ENSG00000182180	Q9Y3D3	chr10
80298	MTERF2	MTERFD3|mTERFL	ENSG00000120832	Q49AM1	chr12
144363	ETFRF1	LYRM5	ENSG00000205707	Q6IPR1	chr12
2820	GPD2	GDH2|GPDM|mGDH|mGPDH	ENSG00000115159	P43304	chr2
4705	NDUFA10	CI-42KD|CI-42k|MC1DN22	ENSG00000130414	O95299	chr2
4718	NDUFC2	B14.5b|CI-B14.5b|HLC-1|NADHDH2	ENSG00000151366	O95298	chr11
81892	SLIRP	C14orf156|DC50|PD04872	ENSG00000119705	Q9GZT3	chr14
4508	MT-ATP6	ATPase6|MTATP6	ENSG00000198899	P00846	chrM
4513	MT-CO2	COII|MTCO2	ENSG00000198712	P00403	chrM
29090	TIMM21	C18orf55|HSPC154|TIM21	ENSG00000075336	Q9BVV7	chr18
4702	NDUFA8	CI-19KD|CI-PGIV|PGIV	ENSG00000119421	P51970	chr9
2744	GLS	AAD20|CASGID|EIEE71|GAC|GAM|GDPAG|GLS1|KGA	ENSG00000115419	O94925	chr2
54539	NDUFB11	CI-ESSS|ESSS|MC1DN30|NP17.3|Np15|P17.3	ENSG00000147123	Q9NX14	chrX
55526	DHTKD1	AMOXAD|CMT2Q	ENSG00000181192	Q96HY7	chr10
51011	FAHD2A	CGI-105	ENSG00000115042	Q96GK7	chr2
7923	HSD17B8	D6S2245E|FABG|FABGL|H2-KE6|HKE6|KE6|RING2|SDR30C1|dJ1033B10.9	ENSG00000112474|ENSG00000204228|ENSG00000225312|ENSG00000228357|ENSG00000228712|ENSG00000232357	Q92506	chr6
84681	HINT2	HIT-17	ENSG00000137133	Q9BX68	chr9
64969	MRPS5	MRP-S5|S5mt	ENSG00000144029	P82675	chr2
221545	C6orf136	-	ENSG00000204564|ENSG00000206487|ENSG00000224120|ENSG00000233164|ENSG00000233641|ENSG00000237012|ENSG00000237100	Q5SQH8	chr6
283377	SPRYD4	-	ENSG00000176422	Q8WW59	chr12
387787	LIPT2	-	ENSG00000175536	A6NK58	chr11
1666	DECR1	DECR|NADPH|SDR18C1	ENSG00000104325	Q16698	chr8
64949	MRPS26	C20orf193|GI008|MRP-S13|MRP-S26|MRPS13|NY-BR-87|RPMS13|dJ534B8.3	ENSG00000125901	Q9BYN8	chr20
10166	SLC25A15	D13S327|HHH|LNC-HC|ORC1|ORNT1	ENSG00000102743	Q9Y619	chr13
4731	NDUFV3	CI-10k|CI-9KD	ENSG00000160194	P56181	chr21
670	BPHL	BPH-RP|MCNAA|VACVASE	ENSG00000137274	Q86WA6	chr6
30968	STOML2	HSPC108|SLP-2	ENSG00000165283	Q9UJZ1	chr9
22921	MSRB2	CBS-1|CBS1|CGI-131|MSRB|PILB	ENSG00000148450	Q9Y3D2	chr10
114294	LACTB	G24|MRPL56	ENSG00000103642	P83111	chr15
10452	TOMM40	C19orf1|D19S1177E|PER-EC1|PEREC1|TOM40	ENSG00000130204	O96008	chr19
114789	SLC25A25	MCSC|PCSCL|SCAMC-2	ENSG00000148339	Q6KCM7	chr9
203054	ADCK5	-	ENSG00000173137|ENSG00000285451	Q3MIX3	chr8
80724	ACAD10	-	ENSG00000111271	Q6JQN1	chr12
23078	VWA8	KIAA0564|P7BP2	ENSG00000102763	A3KMH1	chr13
60492	CCDC90B	MDS011|MDS025	ENSG00000137500	Q9GZT6	chr11
55735	DNAJC11	dJ126A5.1	ENSG00000007923	Q9NVH1	chr1
84266	ALKBH7	ABH7|SPATA11|UNQ6002	ENSG00000125652	Q9BT30	chr19
2731	GLDC	GCE|GCSP|HYGN1	ENSG00000178445	P23378	chr9
347411	MPC1L	SLC54A3	ENSG00000238205	P0DKB6	chrX
117145	THEM4	CTMP	ENSG00000159445	Q5T1C6	chr1
6742	SSBP1	Mt-SSB|SOSS-B1|SSBP|mtSSB	ENSG00000106028|ENSG00000262771	Q04837	chr7
51264	MRPL27	L27mt	ENSG00000108826	Q9P0M9	chr17
150274	HSCB	DNAJC20|HSC20|JAC1	ENSG00000100209	Q8IWL3	chr22
55173	MRPS10	MRP-S10|PNAS-122	ENSG00000048544	P82664	chr6
205	AK4	AK 4|AK3|AK3L1|AK3L2	ENSG00000162433	P27144	chr1
55210	ATAD3A	HAYOS|PHRINL	ENSG00000197785	Q9NVI7	chr1
51253	MRPL37	L2mt|L37mt|MRP-L2|MRP-L37|MRPL2|RPML2	ENSG00000116221	Q9BZE1	chr1
80142	PTGES2	C9orf15|GBF-1|GBF1|PGES2|mPGES-2	ENSG00000148334	Q9H7Z7	chr9
10587	TXNRD2	GCCD5|SELZ|TR|TR-BETA|TR3|TRXR2	ENSG00000184470	Q9NNW7	chr22
54988	ACSM5	-	ENSG00000183549	Q6NUN0	chr16
55847	CISD1	C10orf70|MDS029|ZCD1|mitoNEET	ENSG00000122873	Q9NZ45	chr10
64975	MRPL41	BMRP|MRP-L27|MRPL27|PIG3|RPML27	ENSG00000182154	Q8IXM3	chr9
54996	MTARC2	MARC2|MOSC2	ENSG00000117791	Q969Z3	chr1
64968	MRPS6	C21orf101|MRP-S6|RPMS6|S6mt	ENSG00000243927	P82932	chr21
6150	MRPL23	L23MRP|RPL23|RPL23L	ENSG00000214026|ENSG00000288141	Q16540	chr11
58472	SQOR	CGI-44|PRO1975|SQR|SQRDL	ENSG00000137767	Q9Y6N5	chr15
6341	SCO1	SCOD1	ENSG00000133028	O75880	chr17
23464	GCAT	KBL	ENSG00000100116	O75600	chr22
25902	MTHFD1L	FTHFSDC1|MTC1THFS|dJ292B18.2	ENSG00000120254	Q6UB35	chr6
10455	ECI2	ACBD2|DRS-1|DRS1|HCA88|PECI|dJ1013A10.3	ENSG00000198721	O75521	chr6
7381	UQCRB	MC3DN3|QCR7|QP-C|QPC|UQBC|UQBP|UQCR6|UQPC	ENSG00000156467	P14927	chr8
10476	ATP5PD	APT5H|ATP5H|ATPQ	ENSG00000167863	O75947	chr17
10632	ATP5MG	ATP5JG|ATP5L	ENSG00000167283	O75964	chr11
131076	CCDC58	-	ENSG00000160124	Q4VC31	chr3
64087	MCCC2	MCCB	ENSG00000131844|ENSG00000275300|ENSG00000281742	Q9HCC0	chr5
84693	MCEE	GLOD2|MCE	ENSG00000124370	Q96PE7	chr2
4337	MOCS1	MIG11|MOCOD|MOCS1A|MOCS1B	ENSG00000124615	Q9NZB8	chr6
4594	MMUT	MCM|MUT	ENSG00000146085	P22033	chr6
92014	SLC25A51	CG7943|MCART1	ENSG00000122696	Q9H1U9	chr9
6687	SPG7	CAR|CMAR|PGN|SPG5C	ENSG00000197912	Q9UQ90	chr16
518	ATP5MC3	ATP5G3|P3	ENSG00000154518	P48201	chr2
84896	ATAD1	AFDC1|FNP001|HKPX4|Msp1|THORASE	ENSG00000138138|ENSG00000283024	Q8NBU5	chr10
92106	OXNAD1	-	ENSG00000154814	Q96HP4	chr3
26164	MTG2	GTPBP5|ObgH1|dJ1005F21.2	ENSG00000101181	Q9H4K7	chr20
55157	DARS2	ASPRS|LBSL|MT-ASPRS|mtAspRS	ENSG00000117593	Q6PI48	chr1
51258	MRPL51	CDA09|HSPC241|MRP64|bMRP64	ENSG00000111639	Q4U2R6	chr12
5091	PC	PCB	ENSG00000173599	P11498	chr11
171425	CLYBL	CLB	ENSG00000125246	Q8N0X4	chr13
50640	PNPLA8	IPLA2-2|IPLA2G|MMLA|PNPLA-gamma|iPLA2gamma	ENSG00000135241	Q9NP80	chr7
23417	MLYCD	MCD	ENSG00000103150	O95822	chr16
100996939	PYURF	PREY	ENSG00000145337	Q96I23	chr4
10245	TIMM17B	DXS9822|JM3|TIM17B	ENSG00000126768	O60830	chrX
64983	MRPL32	HSPC283|L32mt|MRP-L32|bMRP-59b	ENSG00000106591	Q9BYC8	chr7
115286	SLC25A26	COXPD28|SAMC	ENSG00000144741|ENSG00000282739	Q70HW3	chr3
58510	PRODH2	HSPOX1|HYPDH	ENSG00000250799	Q9UF12	chr19
56954	NIT2	HEL-S-8a	ENSG00000114021	Q9NQR4	chr3
112812	FDX2	FDX1L|MEOAL	ENSG00000267673	Q6P4F2	chr19
4200	ME2	ODS1	ENSG00000082212	P23368	chr18
7284	TUFM	COXPD4|EF-TuMT|EFTU|P43	ENSG00000178952	P49411	chr16
1339	COX6A2	COX6AH|COXVIAH	ENSG00000156885	Q02221	chr16
10463	SLC30A9	BILAPES|C4orf1|GAC63|HUEL|ZNT9	ENSG00000014824	Q6PML9	chr4
132001	TAMM41	C3orf31|RAM41|TAM41	ENSG00000144559|ENSG00000279643	Q96BW9	chr3
100287932	TIMM23	TIM23	ENSG00000265354	O14925	chr10
55005	RMND1	C6orf96|COXPD11|RMD1|bA351K16|bA351K16.3	ENSG00000155906	Q9NWS8	chr6
9927	MFN2	CMT2A|CMT2A2|CMT2A2A|CMT2A2B|CPRP1|HMSN6A|HSG|MARF	ENSG00000116688	O95140	chr1
728489	DNLZ	C9orf151|HEP|HEP1|TIMM15|ZIM17|bA413M3.2	ENSG00000213221	Q5SXM8	chr9
131474	CHCHD4	MIA40|TIMM40	ENSG00000163528	Q8N4Q1	chr3
4706	NDUFAB1	ACP|ACP1|FASN2A|SDAP	ENSG00000004779	O14561	chr16
116285	ACSM1	BUCS1|MACS1	ENSG00000166743	Q08AH1	chr16
493753	COA5	6330578E17Rik|C2orf64|CEMCOX3|Pet191	ENSG00000183513	Q86WW8	chr2
27235	COQ2	CL640|COQ10D1|MSA1|PHB:PPT	ENSG00000173085	Q96H96	chr4
57107	PDSS2	C6orf210|COQ10D3|COQ1B|DLP1|bA59I9.3|hDLP1	ENSG00000164494	Q86YH6	chr6
1962	EHHADH	ECHD|FRTS3|L-PBE|LBFP|LBP|MFE1|PBFE	ENSG00000113790	Q08426	chr3
4722	NDUFS3	CI-30|MC1DN8	ENSG00000213619|ENSG00000285387	O75489	chr11
23456	ABCB10	EST20237|M-ABC2|MTABC2	ENSG00000135776	Q9NRK6	chr1
1160	CKMT2	SMTCK	ENSG00000131730	P17540	chr5
64432	MRPS25	MRP-S25|RPMS25	ENSG00000131368	P82663	chr3
28976	ACAD9	MC1DN20|NPD002	ENSG00000177646	Q9H845	chr3
51241	COX16	C14orf112|HSPC203|hCOX16	ENSG00000133983	Q9P0S2	chr14
125228	FAM210A	C18orf19|HsT2329	ENSG00000177150	Q96ND0	chr18
55856	ACOT13	HT012|PNAS-27|THEM2	ENSG00000112304	Q9NPJ3	chr6
1374	CPT1A	CPT1|CPT1-L|L-CPT1	ENSG00000110090	P50416	chr11
10901	DHRS4	CR|NRDR|PHCR|PSCD|SCAD-SRL|SDR-SRL|SDR25C1|SDR25C2	ENSG00000157326|ENSG00000284807	Q9BTZ2	chr14
153768	PRELID2	-	ENSG00000186314	Q8N945	chr5
79587	CARS2	COXPD27|cysRS	ENSG00000134905	Q9HA77	chr13
2631	NIPSNAP2	GBAS	ENSG00000146729	O75323	chr7
4713	NDUFB7	B18|CI-B18	ENSG00000099795	P17568	chr19
125988	MICOS13	C19orf70|MIC13|P117|QIL1	ENSG00000174917	Q5XKP0	chr19
51022	GLRX2	CGI-133|GRX2	ENSG00000023572	Q9NS18	chr1
10884	MRPS30	MRP-S30|PAP|PDCD9|S30mt	ENSG00000112996	Q9NP92	chr5
9997	SCO2	CEMCOX1|ECGF1|Gliostatin|MYP6|PD-ECGF|SCO1L|TP|TYMP|TdRPase	ENSG00000284194	O43819	chr22
3028	HSD17B10	17b-HSD10|ABAD|CAMR|DUPXp11.22|ERAB|HADH2|HCD2|HSD10MD|MHBD|MRPP2|MRX17|MRX31|MRXS10|SCHAD|SDR5C1	ENSG00000072506	Q99714	chrX
79731	NARS2	DFNB94|SLM5|asnRS	ENSG00000137513	Q96I59	chr11
285367	RPUSD3	-	ENSG00000156990	Q6P087	chr3
6821	SUOX	-	ENSG00000139531	P51687	chr12
1757	SARDH	BPR-2|DMGDHL1|SAR|SARD|SDH	ENSG00000123453	Q9UL12	chr9
10247	RIDA	HRSP12|P14.5|PSP|UK114|hp14.5	ENSG00000132541	P52758	chr8
1351	COX8A	COX|COX8|COX8-2|COX8L|VIII|VIII-L	ENSG00000176340	P10176	chr11
6697	SPR	SDR38C1	ENSG00000116096	P35270	chr2
4358	MPV17	CMT2EE|MTDPS6|SYM1	ENSG00000115204	P39210	chr2
284273	ZADH2	PRG-3	ENSG00000180011	Q8N4Q0	chr18
29074	MRPL18	HSPC071|L18mt|MRP-L18	ENSG00000112110	Q9H0U6	chr6
219	ALDH1B1	ALDH5|ALDHX	ENSG00000137124	P30837	chr9
118487	CHCHD1	C10orf34|C2360|MRP-S37	ENSG00000172586	Q96BP2	chr10
1678	TIMM8A	DDP|DDP1|DFN1|MTS|TIM8	ENSG00000126953	O60220	chrX
7419	VDAC3	HD-VDAC3|VDAC-3	ENSG00000078668	Q9Y277	chr8
29957	SLC25A24	APC1|SCAMC-1|SCAMC1	ENSG00000085491|ENSG00000284468	Q6NUK1	chr1
51660	MPC1	BRP44L|CGI-129|MPYCD|SLC54A1	ENSG00000060762	Q9Y5U8	chr6
79751	SLC25A22	EIEE3|GC-1|GC1|NET44	ENSG00000177542	Q9H936	chr11
83447	SLC25A31	AAC4|ANT 4|ANT4|SFEC35kDa	ENSG00000151475	Q9H0C2	chr4
83733	SLC25A18	GC2	ENSG00000182902	Q9H1K4	chr22
51095	TRNT1	CCA1|CGI-47|MtCCA|RPEM|SIFD	ENSG00000072756	Q96Q11	chr3
3416	IDE	INSULYSIN	ENSG00000119912	P14735	chr10
373156	GSTK1	GST|GST 13-13|GST13|GST13-13|GSTK1-1|hGSTK1	ENSG00000197448	Q9Y2Q3	chr7
57176	VARS2	COXPD20|VALRS|VARS2L|VARSL	ENSG00000137411|ENSG00000206476|ENSG00000223494|ENSG00000230985|ENSG00000234032|ENSG00000236178	Q5ST30	chr6
3336	HSPE1	CPN10|EPF|GROES|HSP10	ENSG00000115541	P61604	chr2
116541	MRPL54	L54mt|MRP-L54	ENSG00000183617	Q6P161	chr19
64978	MRPL38	HSPC262|L38MT|MRP-L3|MRP-L38|RPML3	ENSG00000204316	Q96DV4	chr17
3396	MRPL58	DS-1|DS1|ICT1|MRP-L58	ENSG00000167862	Q14197	chr17
23787	MTCH1	CGI-64|PIG60|PSAP|SLC25A49	ENSG00000137409	Q9NZJ7	chr6
51499	TRIAP1	HSPC132|MDM35|P53CSV|WF-1	ENSG00000170855	O43715	chr12
55037	PTCD3	MRP-S39	ENSG00000132300	Q96EY7	chr2
1352	COX10	-	ENSG00000006695	Q12887	chr17
8165	AKAP1	AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17	ENSG00000121057	Q92667	chr17
55178	MRM3	RMTL1|RNMTL1	ENSG00000171861	Q9HC36	chr17
204	AK2	ADK2	ENSG00000004455	P54819	chr1
54968	TMEM70	MC5DN2	ENSG00000175606	Q9BUB7	chr8
84273	NOA1	C4orf14|MTG3|hAtNOS1|hNOA1|mAtNOS1	ENSG00000084092	Q8NC60	chr4
63933	MCUR1	C6orf79|CCDC90A|FMP32	ENSG00000050393	Q96AQ8	chr6
51522	TMEM14C	C6orf53|HSPC194|MSTP073|NET26|bA421M1.6	ENSG00000111843|ENSG00000284936	Q9P0S9	chr6
4717	NDUFC1	KFYI	ENSG00000109390	O43677	chr4
51318	MRPL35	L35mt|MRP-L35	ENSG00000132313	Q9NZE8	chr2
4696	NDUFA3	B9|CI-B9	ENSG00000170906|ENSG00000273642|ENSG00000274359|ENSG00000275605|ENSG00000275724|ENSG00000276061|ENSG00000276220|ENSG00000276766|ENSG00000277722|ENSG00000278365	O95167	chr19
23590	PDSS1	COQ1|COQ10D2|COQ1A|DPS|SPS|TPRT|TPT|TPT 1|hDPS1	ENSG00000148459	Q5T2R2	chr10
8034	SLC25A16	D10S105E|GDA|GDC|HGT.1|ML7|hML7	ENSG00000122912	P16260	chr10
154791	FMC1	C7orf55|HSPC268	ENSG00000164898	0	chr7
6296	ACSM3	SA|SAH	ENSG00000005187	Q53FZ2	chr16
137682	NDUFAF6	C8orf38|FRTS5|MC1DN17	ENSG00000156170	Q330K2	chr8
7350	UCP1	SLC25A7|UCP	ENSG00000109424	P25874	chr4
94081	SFXN1	SLC56A1|TCC	ENSG00000164466	Q9H9B4	chr5
51218	GLRX5	C14orf87|FLB4739|GRX5|PR01238|PRO1238|PRSA|SIDBA3|SPAHGC	ENSG00000182512	Q86SX6	chr14
138428	PTRH1	C9orf115|PTH1	ENSG00000187024	Q86Y79	chr9
64963	MRPS11	HCC-2|MRP-S11|S11mt	ENSG00000181991	P82912	chr15
63929	XPNPEP3	APP3|ICP55|NPHPL1	ENSG00000196236	Q9NQH7	chr22
54704	PDP1	PDH|PDP|PDPC|PPM2A|PPM2C	ENSG00000164951	Q9P0J1	chr8
1632	ECI1	DCI	ENSG00000167969	P42126	chr16
89874	SLC25A21	MTDPS18|ODC|ODC1	ENSG00000183032	Q9BQT8	chr14
123096	SLC25A29	C14orf69|CACL|ORNT3	ENSG00000197119	Q8N8R3	chr14
283130	SLC25A45	-	ENSG00000162241	Q8N413	chr11
57001	SDHAF3	ACN9|DC11|LYRM10|Sdh7	ENSG00000196636	Q9NRP4	chr7
51012	PRELID3B	C20orf45|SLMO2|dJ543J19.5	ENSG00000101166	Q9Y3B1	chr20
51629	SLC25A39	CGI-69|CGI69	ENSG00000013306	Q9BZJ4	chr17
4709	NDUFB3	B12|CI-B12|MC1DN25	ENSG00000119013	O43676	chr2
25996	REXO2	CGI-114|REX2|RFN|SFN	ENSG00000076043	Q9Y3B8	chr11
2628	GATM	AGAT|AT|CCDS3|FRTS1	ENSG00000171766	P50440	chr15
26515	TIMM10B	FXC1|TIM10B|Tim9b	ENSG00000132286	Q9Y5J6	chr11
54938	SARS2	SARS|SARSM|SERS|SYS|SerRS|SerRSmt|mtSerRS	ENSG00000104835|ENSG00000283104	Q9NP81	chr19
55349	CHDH	-	ENSG00000016391	Q8NE62	chr3
78988	MRPL57	MRP63|bMRP63	ENSG00000173141	Q9BQC6	chr13
414919	C8orf82	-	ENSG00000213563	Q6P1X6	chr8
124454	EARS2	COXPD12|MSE1|gluRS|mtGlnRS	ENSG00000103356	Q5JPH6	chr16
9380	GRHPR	GLXR|GLYD|PH2	ENSG00000137106	Q9UBQ7	chr9
123263	MTFMT	COXPD15|FMT1|MC1DN27	ENSG00000103707	Q96DP5	chr15
79810	PTCD2	-	ENSG00000049883	Q8WV60	chr5
55862	ECHDC1	HEL-S-76|MMCD|dJ351K20.2	ENSG00000093144	Q9NTX5	chr6
23438	HARS2	HARSL|HARSR|HO3|HisRS|PRLTS2	ENSG00000112855	P49590	chr5
4697	NDUFA4	CI-9k|CI-MLRQ|COXFA4|MLRQ	ENSG00000189043	O00483	chr7
51079	NDUFA13	B16.6|CDA016|CGI-39|GRIM-19|GRIM19|MC1DN28	ENSG00000186010	Q9P0J0	chr19
128240	NAXE	AIBP|APOA1BP|PEBEL|YJEFN1	ENSG00000163382	Q8NCW5	chr1
8834	TMEM11	C17orf35|PM1|PMI	ENSG00000178307	P17152	chr17
83642	SELENOO	SELO	ENSG00000073169	Q9BVL4	chr22
162417	NAGS	AGAS|ARGA	ENSG00000161653	Q8N159	chr17
3295	HSD17B4	DBP|MFE-2|MFP-2|MPF-2|PRLTS1|SDR8C1	ENSG00000133835	P51659	chr5
55471	NDUFAF7	C2orf56|MidA|PRO1853	ENSG00000003509	Q7L592	chr2
4942	OAT	GACR|HOGA|OATASE|OKT	ENSG00000065154	P04181	chr10
54534	MRPL50	MRP-L50	ENSG00000136897	Q8N5N7	chr9
1349	COX7B	APLCC|LSDMCA2	ENSG00000131174	P24311	chrX
57038	RARS2	ArgRS|DALRD2|PCH6|PRO1992|RARSL	ENSG00000146282	Q5T160	chr6
339229	OXLD1	C17orf90	ENSG00000204237	Q5BKU9	chr17
51110	LACTB2	CGI-83	ENSG00000147592	Q53H82	chr8
126328	NDUFA11	B14.7|CI-B14.7|MC1DN14	ENSG00000174886	Q86Y39	chr19
54998	AURKAIP1	AIP|AKIP|MRP-S38	ENSG00000175756	Q9NWT8	chr1
79145	CHCHD7	COX23	ENSG00000170791	Q9BUK0	chr8
6472	SHMT2	GLYA|HEL-S-51e|SHMT	ENSG00000182199	P34897	chr12
10797	MTHFD2	NMDMC	ENSG00000065911	P13995	chr2
51115	RMDN1	CGI-90|FAM82B|RMD-1|RMD1	ENSG00000176623	Q96DB5	chr8
1373	CPS1	CPSASE1|PHN	ENSG00000021826	P31327	chr2
64928	MRPL14	L14mt|L32mt|MRP-L14|MRP-L32|MRPL32|RMPL32|RPML32	ENSG00000180992	Q6P1L8	chr6
51250	MTRES1	C6orf203|HSPC230|PRED31	ENSG00000130349	Q9P0P8	chr6
112724	RDH13	SDR7C3	ENSG00000160439|ENSG00000273944|ENSG00000274418|ENSG00000274504|ENSG00000275474|ENSG00000276341|ENSG00000276684|ENSG00000276826|ENSG00000278149|ENSG00000278284	Q8NBN7	chr19
79979	TRMT2B	CXorf34|dJ341D10.3	ENSG00000188917	Q96GJ1	chrX
64951	MRPS24	HSPC335|MRP-S24|S24mt|bMRP-47|bMRP47	ENSG00000062582	Q96EL2	chr7
28958	COA3	CCDC56|COX25|HSPC009|MITRAC12	ENSG00000183978	Q9Y2R0	chr17
2936	GSR	GR|GSRD|HEL-75|HEL-S-122m	ENSG00000104687	P00390	chr8
2021	ENDOG	-	ENSG00000167136	Q14249	chr9
587	BCAT2	BCAM|BCATM|BCT2|HVLI|PP18	ENSG00000105552	O15382	chr19
79736	TEFM	C17orf42	ENSG00000172171	Q96QE5	chr17
80221	ACSF2	ACSMW|AVYV493	ENSG00000167107	Q96CM8	chr17
55687	TRMU	LCAL3|MTO2|MTU1|TRMT|TRMT1	ENSG00000100416	O75648	chr22
56945	MRPS22	C3orf5|COXPD5|GIBT|GK002|MRP-S22|ODG7|RPMS22	ENSG00000175110	P82650	chr3
51056	LAP3	HEL-S-106|LAP|LAPEP|PEPS	ENSG00000002549	P28838	chr4
2746	GLUD1	GDH|GDH1|GLUD	ENSG00000148672	P00367	chr10
3155	HMGCL	HL	ENSG00000117305	P35914	chr1
2272	FHIT	AP3Aase|FRA3B	ENSG00000189283	P49789	chr3
51650	MRPS33	CGI-139|MRP-S33|PTD003|S33mt	ENSG00000090263	Q9Y291	chr7
80224	NUBPL	C14orf127|IND1|MC1DN21|huInd1	ENSG00000151413	Q8TB37	chr14
57226	LYRM2	DJ122O8.2	ENSG00000083099	Q9NU23	chr6
255027	MPV17L	M-LPH|MLPH1|MLPH2|MPV17L1	ENSG00000156968|ENSG00000261130|ENSG00000275543|ENSG00000282074	Q2QL34	chr16
90480	GADD45GIP1	CKBBP2|CKbetaBP2|CRIF1|MRP-L59|PLINP|PLINP-1|PRG6|Plinp1	ENSG00000179271	Q8TAE8	chr19
7019	TFAM	MTDPS15|MTTF1|MTTFA|TCF6|TCF6L1|TCF6L2|TCF6L3	ENSG00000108064	Q00059	chr10
5832	ALDH18A1	ADCL3|ARCL3A|GSAS|P5CS|PYCS|SPG9|SPG9A|SPG9B	ENSG00000059573	P54886	chr10
54995	OXSM	CEM1|FASN2D|KASI|KS	ENSG00000151093	Q9NWU1	chr3
56267	KYAT3	CCBL2|KAT3|KATIII	ENSG00000137944	Q6YP21	chr1
80222	TARS2	COXPD21|TARSL1|thrRS	ENSG00000143374	Q9BW92	chr1
9238	TBRG4	CPR2|FASTKD4	ENSG00000136270	Q969Z0	chr7
157378	TMEM65	-	ENSG00000164983	Q6PI78	chr8
140823	ROMO1	C20orf52|MTGM|MTGMP|bA353C18.2	ENSG00000125995	P60602	chr20
25824	PRDX5	ACR1|AOEB166|B166|HEL-S-55|PLP|PMP20|PRDX6|PRXV|SBBI10|prx-V	ENSG00000126432	P30044	chr11
29103	DNAJC15	DNAJD1|HSD18|MCJ	ENSG00000120675	Q9Y5T4	chr13
79568	MAIP1	C2orf47	ENSG00000162972	Q8WWC4	chr2
25994	HIGD1A	HIG1|RCF1a	ENSG00000181061	Q9Y241	chr3
283951	C16orf91	CCSMST1|URLC5|gs103	ENSG00000174109	Q4G0I0	chr16
89941	RHOT2	ARHT2|C16orf39|MIRO-2|MIRO2|RASL	ENSG00000140983	Q8IXI1	chr16
9673	SLC25A44	-	ENSG00000160785	Q96H78	chr1
51179	HAO2	GIG16|HAOX2	ENSG00000116882	Q9NYQ3	chr1
5018	OXA1L	OXA1	ENSG00000155463	Q15070	chr14
91137	SLC25A46	HMSN6B	ENSG00000164209	Q96AG3	chr5
57665	RDH14	PAN2|SDR7C4	ENSG00000240857	Q9HBH5	chr2
9556	ATP5MPL	6.8PL|C14orf2|MLQ|MP68|PLPM	ENSG00000156411	P56378	chr14
11238	CA5B	CA-VB|CAVB	ENSG00000169239	Q9Y2D0	chrX
80347	COASY	DPCK|NBIA6|NBP|PCH12|PPAT|UKR1|pOV-2	ENSG00000068120	Q13057	chr17
284106	CISD3	MiNT|Miner2	ENSG00000274768|ENSG00000277972	P0C7P0	chr17
2954	GSTZ1	GSTZ1-1|MAAI|MAAID|MAI	ENSG00000100577	O43708	chr14
125965	COX6B2	COXVIB2|CT59	ENSG00000160471	Q6YFQ2	chr19
51031	GLOD4	C17orf25|CGI-150|HC71	ENSG00000167699	Q9HC38	chr17
30	ACAA1	ACAA|PTHIO|THIO	ENSG00000060971	P09110	chr3
54677	CROT	COT	ENSG00000005469	Q9UKG9	chr7
64146	PDF	-	ENSG00000258429	Q9HBH1	chr16
90639	COX19	-	ENSG00000240230	Q49B96	chr7
